word	definition	score
tendentious	 Having or showing a definite tendency, bias, or purpose.	-1.0
tenebrous 	gloomy, shadowy, or dark	-1.0
terriculament	 A source or object of fear, especially of unnecessary fear; a bugbear.	-1.0
terriculament 	A source or object of fear, especially of unnecessary fear; a bugbear	-1.0
terrior		-1.0
test your vocabulary. contains non	word false answers. Language proficiency.	-1.0
tetchy 	 irritably or peevishly sensitive; irritable and bad	-1.0
thagomizer	The spiky end of a stegosaur's tail. Nonce word in a Far Side cartoon, but adopted by the palaeontological community.	-1.0
thalassocracy	 a state with primarily maritime realms—an empire at sea, such as the Phoenician network of merchant cities	-1.0
thanatopsis	A meditation upon death	-1.0
thanatosis	 The act of feigning death.	-1.0
the peruvian currency is called nuevo sol. the derivation of sol is from the latin solidus (meaning coin) 	the word also happens to mean sun in Spanish. There is a continuity, therefore, with the old Peruvian currency Inti, which was named after Inti, the Sun God of the Incas.	-1.0
theophany	a visible manifestation of a deity	-1.0
threnody	 A song or poem of lamentation or mourning for a dead person; a dirge; an elegy.	-1.0
tidsoptimist	a person who's habitually late because they think they have more time than they do.	-1.0
timocracy	1. a form of government in which love of honor is the dominant motive of the rulers. 2. a form of government in which a certain amount of property is requisite as a qualification for office.	-1.0
timon	 One who hates or distrusts humankind.	-1.0
tintinnabulation	the sound of a bell ringing	0.0
titivate 	to to make something smart or spruce, usually clothing	-1.0
tontine	a joint financial arrangement whereby the participants contribute equally to a prize that is awarded entirely to the participant who survives all the others.	-1.0
tope	 To drink (liquor) habitually and excessively or engage in such drinking.	-1.0
torpor 	A state of mental or physical inactivity or insensibility	-1.0
toska 	 a dull ache of the soul, a longing with nothing to long for, a sick pining, a vague restlessness, mental throes, yearning.	-1.0
tosspot 	a drunkard, a habitual drinker	-1.0
tranche	 A division or portion of a pool or whole.	-1.0
trichiliocosm	(Buddhism) A concept in cosmology of a third-orderuniverse containing one thousand second-order clusters, which are made of one thousand first-order clusters, which are in turn made of a thousand worlds each. Billion-fold universe.	1.0
tricoteuse	a woman who sits and knits (personally found from a David Bowie song)	-1.0
trilemma		-1.0
trumpery 	worthless nonsense	-1.0
tulpa	 A magical creature that attains corporeal reality, having been originally merely imaginary; thought that has taken physical form.	-1.0
tumescent	 Swollen or becoming swollen, especially as a response to sexual arousal (Especially of language or literary style) pompous or pretentious; tumid	-1.0
twitterpated	 infatuated or obsessed; in a state of nervous excitement.	-1.0
tête	à	-1.0
uhtcearu	Old English, The Anxiety before dawn. The anxiety that kept you up all night long	-1.0
ullage	 The amount of liquid by which a container falls short of being full.	-1.0
ultimate	 Last; Penultimate	-1.0
ultracrepidarian	one who opines on something they poorly understand 	0.0
ultracrepidarianism	 the habit of giving opinions and advice on matters outside of one's knowledge	-1.0
ululate	 howl or wail as an expression of strong emotion, typically grief.	-1.0
umbrageous	filled with shade	0.0
umbrella	a lightweight handheld collapsible canopy	0.0
umwelt 	environment; the world as it is experienced by a particular organism	-1.0
unasinous 	 sharing the same amount of stupidity	-1.0
untoward	not in keeping with accepted standards of what is right or proper in polite society	0.0
upbraid	To criticize severely.	-1.0
uroboros 	A circular symbol depicting a snake, or less commonly a dragon, swallowing its tail, as an emblem of wholeness or infinity; (also ouroboros)	-1.0
usufruct 	the right to use and derive profit from a piece of property belonging to another, provided the property itself remains undiminished and uninjured in any way	-1.0
uxorious	having or showing a great or excessive fondness for one's wife.	-1.0
velleity  	 A wish or inclination not strong enough to lead to action.	-1.0
vellicate	to touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements	-1.0
vellichor (n.)	 the strange wistfulness of used bookstores	-1.0
verecund	bashful; modest	-1.0
verisimilitude 	The appearance of being true or real.	-1.0
verklempt	 overcome with emotion (German)	-1.0
vermiform	 resembling a worm in shape	-1.0
vernal 	adjective for spring, 	-1.0
verve 	 the spirit and enthusiasm animating artistic composition or performance ; vivacity; b. energy, vitality.	-1.0
vespertine	of, pertaining to, or occurring in the evening. (from the Latin 'vesper' meaning evening)	-1.0
vestige	an indication that something has been present; a trace of something that is disappearing or no longer exists	0.0
vexillology 	 the study of flags	-1.0
viridescent	greenish or becoming green	0.0
vitrify 	To convert into glass or a glassy substance by heat and fusion	-1.0
volitant	Engaged in or having the power of flight.	-1.0
vorfreude	  the joyful, intense anticipation that comes from imagining future pleasures (German)	-1.0
völkerwanderung	a migration of peoples, especially that of Germanic and Slavic peoples into Europe from the 2nd to the 11th centuries.	0.0
waft	a long flag; often tapering	0.0
waldeinsamkeit	 the feeling one has while being alone in the woods (German)	0.0
wegotism	The habit of using we when referring to oneself.	-1.0
weltschmerz	mental depression or apathy caused by comparison of the actual state of the world with an ideal state (german)	-1.0
wheal  	a red, swollen mark left on flesh by a blow or pressure. Also a small, burning or itching swelling on the skin, as from a mosquito bite or from hives; a welt	-1.0
wherewithal	the necessary means (especially financial means	0.0
whited sepulchre	 a person who is inwardly evil but outwardly professes to be virtuous	-1.0
witwanton	One who indulges in idle, foolish, and irreverent fancies or speculations; one who tries to be cleverly amusing but falls short.	-1.0
xeric	 characterized by, relating to, or requiring only a small amount of moisture	-1.0
yarborough	a hand in which no card is higher than a nine.	-1.0
zaftig	Of a woman, having a plump and sexually attractive figure.	-1.0
zaggle	 to confuse by contradictory assertions	-1.0
zeugma	 The use of a word to modify or govern two or more words usually in such a manner that it applies to each in a different sense or makes sense with only one (as in opened the door and her heart to the homeless boy).	-1.0
zoanthropy	A form of madness involving the delusion of being an animal, with correspondingly altered behaviour.	-1.0
zoilus	A bitter and often envious critic.	-1.0
zugzwang	a compulsion to act that forces a choice between only negative outcomes	-1.0
élan vital 	a term coined by French philosopher Henri Bergson in his 1907 book Creative Evolution, in which he addresses the question of self-organisation and spontaneous morphogenesis of things in an increasingly complex manner 	-1.0
